platform,type,term,content,engagement,url,timestamp,author,views,collected_at
instagram,hashtag,#trabalhardecasa,"Quer ganhar uma renda extra? Comece agora com #trabalhardecasa! Sem necessidade de estoque, trabalhe de casa. #empreendedorismo #rendaextra",7482,https://www.instagram.com/p/Simulated_trabalhardecasa_1/,2025-04-29 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#vendanotiktok,Já pensou em começar seu próprio negócio sem investimento inicial? #vendanotiktok é a solução! Veja como eu comecei. #marketingdigital,6626,https://www.instagram.com/p/Simulated_vendanotiktok_1/,2025-04-04 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#comissao,"Quer ganhar uma renda extra? Comece agora com #comissao! Sem necessidade de estoque, trabalhe de casa. #empreendedorismo #rendaextra",6606,https://www.instagram.com/p/Simulated_comissao_0/,2025-04-26 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#trabalhardecasa,Como eu consegui renda extra com #trabalhardecasa trabalhando apenas 3 horas por dia. #trabalheemcasa #rendapassiva,5635,https://www.instagram.com/p/Simulated_trabalhardecasa_0/,2025-04-12 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,empreendedorismo digital,"Acabei de receber meu pagamento de comissões do mês: R$7.300 com empreendedorismo digital! E você, ainda está perdendo tempo com trabalho CLT? #liberdade",4943,https://twitter.com/rendaextra/status/Simulated_-649581940304879486,2025-04-06 17:58:17,rendaextra,,2025-04-30 17:58:21
instagram,hashtag,#rendaextra,Já pensou em começar seu próprio negócio sem investimento inicial? #rendaextra é a solução! Veja como eu comecei. #marketingdigital,4887,https://www.instagram.com/p/Simulated_rendaextra_2/,2025-04-20 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,#marketingdigital,#marketingdigital é a tendência do momento! Já ajudei mais de 200 alunos a começarem seus negócios online. Quer ser o próximo? #oportunidade,4760,https://twitter.com/marketing_dicas/status/Simulated_5804415337424246291,2025-04-13 17:58:17,marketing_dicas,,2025-04-30 17:58:21
twitter,tweet,#marketingdigital,Guia rápido: #marketingdigital em 5 passos simples. Comece hoje mesmo sem precisar de estoque ou investimento alto. #rendaextra,4650,https://twitter.com/empreendedor_digital/status/Simulated_-3378773694901356745,2025-04-05 17:58:17,empreendedor_digital,,2025-04-30 17:58:21
instagram,hashtag,#marketingdigital,Curso completo de #marketingdigital disponível agora. Aprenda como montar seu negócio digital e ganhar em dólar! #cursoonline,4630,https://www.instagram.com/p/Simulated_marketingdigital_0/,2025-04-12 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,#revender,Como iniciei meu negócio de #revender com apenas R$500. Agora faturo 5 dígitos mensais! Quer saber como? Link na bio! #empreendedorismo,4601,https://twitter.com/dropship_guru/status/Simulated_929632365877280416,2025-04-09 17:58:17,dropship_guru,,2025-04-30 17:58:21
instagram,hashtag,#dropshipping,"Quer ganhar uma renda extra? Comece agora com #dropshipping! Sem necessidade de estoque, trabalhe de casa. #empreendedorismo #rendaextra",4397,https://www.instagram.com/p/Simulated_dropshipping_2/,2025-04-22 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,#vendanotiktok,#vendanotiktok é a tendência do momento! Já ajudei mais de 200 alunos a começarem seus negócios online. Quer ser o próximo? #oportunidade,4270,https://twitter.com/empreendedor_digital/status/Simulated_4684011168360544111,2025-04-17 17:58:17,empreendedor_digital,,2025-04-30 17:58:21
instagram,hashtag,#revender,"Quer ganhar uma renda extra? Comece agora com #revender! Sem necessidade de estoque, trabalhe de casa. #empreendedorismo #rendaextra",4220,https://www.instagram.com/p/Simulated_revender_2/,2025-04-30 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,#empreendedorismo,"Acabei de receber meu pagamento de comissões do mês: R$7.300 com #empreendedorismo! E você, ainda está perdendo tempo com trabalho CLT? #liberdade",4181,https://twitter.com/dropship_guru/status/Simulated_-5800255959888900608,2025-04-10 17:58:17,dropship_guru,,2025-04-30 17:58:21
twitter,tweet,comissão de vendas,"Meu faturamento multiplicou depois que descobri essa estratégia de comissão de vendas. Sem enrolação, resultado real! #provas",3762,https://twitter.com/marketing_dicas/status/Simulated_5873877406977785053,2025-04-07 17:58:17,marketing_dicas,,2025-04-30 17:58:21
instagram,hashtag,#revender,"Quer ganhar uma renda extra? Comece agora com #revender! Sem necessidade de estoque, trabalhe de casa. #empreendedorismo #rendaextra",3462,https://www.instagram.com/p/Simulated_revender_0/,2025-04-22 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,trabalhar em casa,Guia rápido: trabalhar em casa em 5 passos simples. Comece hoje mesmo sem precisar de estoque ou investimento alto. #rendaextra,3268,https://twitter.com/revenda_facil/status/Simulated_3533399139707099549,2025-04-08 17:58:17,revenda_facil,,2025-04-30 17:58:21
twitter,tweet,#franquiadigital,Guia rápido: #franquiadigital em 5 passos simples. Comece hoje mesmo sem precisar de estoque ou investimento alto. #rendaextra,3058,https://twitter.com/rendaextra/status/Simulated_3486701408553332334,2025-04-25 17:58:17,rendaextra,,2025-04-30 17:58:21
twitter,tweet,#vendasonline,#vendasonline é a tendência do momento! Já ajudei mais de 200 alunos a começarem seus negócios online. Quer ser o próximo? #oportunidade,2822,https://twitter.com/ganhe_online/status/Simulated_-2007511436480818385,2025-04-27 17:58:17,ganhe_online,,2025-04-30 17:58:21
instagram,hashtag,#dropshipping,Resultados reais com #dropshipping! Vendi mais de R$5000 no primeiro mês sem precisar comprar produtos. #dropshipping #liberdadefinanceira,2746,https://www.instagram.com/p/Simulated_dropshipping_0/,2025-04-22 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,dropshipping,Como iniciei meu negócio de dropshipping com apenas R$500. Agora faturo 5 dígitos mensais! Quer saber como? Link na bio! #empreendedorismo,2696,https://twitter.com/dropship_guru/status/Simulated_-1166255780773469851,2025-04-22 17:58:17,dropship_guru,,2025-04-30 17:58:21
twitter,tweet,trabalhar em casa,"Acabei de receber meu pagamento de comissões do mês: R$7.300 com trabalhar em casa! E você, ainda está perdendo tempo com trabalho CLT? #liberdade",2637,https://twitter.com/marketing_dicas/status/Simulated_3695335260954270148,2025-04-12 17:58:17,marketing_dicas,,2025-04-30 17:58:21
twitter,tweet,renda extra,ATENÇÃO: O segredo para ter sucesso com renda extra que ninguém te conta. Veja o link no meu perfil! #revelado,2488,https://twitter.com/revenda_facil/status/Simulated_5354815937657466789,2025-04-24 17:58:17,revenda_facil,,2025-04-30 17:58:21
instagram,hashtag,#vendasonline,"Quer ganhar uma renda extra? Comece agora com #vendasonline! Sem necessidade de estoque, trabalhe de casa. #empreendedorismo #rendaextra",2428,https://www.instagram.com/p/Simulated_vendasonline_1/,2025-04-16 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,revenda sem estoque,Como iniciei meu negócio de revenda sem estoque com apenas R$500. Agora faturo 5 dígitos mensais! Quer saber como? Link na bio! #empreendedorismo,2290,https://twitter.com/revenda_facil/status/Simulated_322613273146134022,2025-04-08 17:58:17,revenda_facil,,2025-04-30 17:58:21
twitter,tweet,franquia digital,"Meu faturamento multiplicou depois que descobri essa estratégia de franquia digital. Sem enrolação, resultado real! #provas",2071,https://twitter.com/marketing_dicas/status/Simulated_-1179853228450742762,2025-04-28 17:58:17,marketing_dicas,,2025-04-30 17:58:21
twitter,tweet,empreendedorismo digital,Guia rápido: empreendedorismo digital em 5 passos simples. Comece hoje mesmo sem precisar de estoque ou investimento alto. #rendaextra,1790,https://twitter.com/ganhe_online/status/Simulated_-636434870710747980,2025-04-03 17:58:17,ganhe_online,,2025-04-30 17:58:21
twitter,tweet,#negocioonline,"Acabei de receber meu pagamento de comissões do mês: R$7.300 com #negocioonline! E você, ainda está perdendo tempo com trabalho CLT? #liberdade",1604,https://twitter.com/marketing_dicas/status/Simulated_-7864563207885882776,2025-04-16 17:58:17,marketing_dicas,,2025-04-30 17:58:21
instagram,hashtag,#dropshipping,Já pensou em começar seu próprio negócio sem investimento inicial? #dropshipping é a solução! Veja como eu comecei. #marketingdigital,1489,https://www.instagram.com/p/Simulated_dropshipping_1/,2025-04-24 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,dropshipping,"Acabei de receber meu pagamento de comissões do mês: R$7.300 com dropshipping! E você, ainda está perdendo tempo com trabalho CLT? #liberdade",1439,https://twitter.com/dropship_guru/status/Simulated_-4175489688206589330,2025-04-24 17:58:17,dropship_guru,,2025-04-30 17:58:21
twitter,tweet,revenda sem estoque,ATENÇÃO: O segredo para ter sucesso com revenda sem estoque que ninguém te conta. Veja o link no meu perfil! #revelado,1323,https://twitter.com/ganhe_online/status/Simulated_8072755920789057132,2025-04-20 17:58:17,ganhe_online,,2025-04-30 17:58:21
twitter,tweet,ganhar dinheiro online,ATENÇÃO: O segredo para ter sucesso com ganhar dinheiro online que ninguém te conta. Veja o link no meu perfil! #revelado,1008,https://twitter.com/revenda_facil/status/Simulated_-878126527145099281,2025-04-30 17:58:17,revenda_facil,,2025-04-30 17:58:21
instagram,hashtag,#negocioonline,Resultados reais com #negocioonline! Vendi mais de R$5000 no primeiro mês sem precisar comprar produtos. #dropshipping #liberdadefinanceira,985,https://www.instagram.com/p/Simulated_negocioonline_0/,2025-04-06 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,#rendaextra,#rendaextra é a tendência do momento! Já ajudei mais de 200 alunos a começarem seus negócios online. Quer ser o próximo? #oportunidade,834,https://twitter.com/ganhe_online/status/Simulated_8415471963328087729,2025-04-14 17:58:17,ganhe_online,,2025-04-30 17:58:21
twitter,tweet,renda extra,Guia rápido: renda extra em 5 passos simples. Comece hoje mesmo sem precisar de estoque ou investimento alto. #rendaextra,452,https://twitter.com/revenda_facil/status/Simulated_-8385129424327355174,2025-04-21 17:58:17,revenda_facil,,2025-04-30 17:58:21
twitter,tweet,renda passiva,"Acabei de receber meu pagamento de comissões do mês: R$7.300 com renda passiva! E você, ainda está perdendo tempo com trabalho CLT? #liberdade",452,https://twitter.com/marketing_dicas/status/Simulated_-390148496345904604,2025-04-01 17:58:17,marketing_dicas,,2025-04-30 17:58:21
twitter,tweet,#dropshipping,#dropshipping é a tendência do momento! Já ajudei mais de 200 alunos a começarem seus negócios online. Quer ser o próximo? #oportunidade,435,https://twitter.com/dropship_guru/status/Simulated_-6221643937367904939,2025-04-22 17:58:17,dropship_guru,,2025-04-30 17:58:21
instagram,hashtag,#franquiadigital,Resultados reais com #franquiadigital! Vendi mais de R$5000 no primeiro mês sem precisar comprar produtos. #dropshipping #liberdadefinanceira,423,https://www.instagram.com/p/Simulated_franquiadigital_0/,2025-04-27 17:58:15,,,2025-04-30 17:58:21
twitter,tweet,marketing digital,marketing digital é a tendência do momento! Já ajudei mais de 200 alunos a começarem seus negócios online. Quer ser o próximo? #oportunidade,299,https://twitter.com/dropship_guru/status/Simulated_5865379721954067169,2025-04-25 17:58:17,dropship_guru,,2025-04-30 17:58:21
twitter,tweet,#trabalhardecasa,Como iniciei meu negócio de #trabalhardecasa com apenas R$500. Agora faturo 5 dígitos mensais! Quer saber como? Link na bio! #empreendedorismo,281,https://twitter.com/ganhe_online/status/Simulated_4840932226667327253,2025-04-02 17:58:17,ganhe_online,,2025-04-30 17:58:21
instagram,hashtag,#vendanotiktok,Curso completo de #vendanotiktok disponível agora. Aprenda como montar seu negócio digital e ganhar em dólar! #cursoonline,248,https://www.instagram.com/p/Simulated_vendanotiktok_0/,2025-04-13 17:58:15,,,2025-04-30 17:58:21
instagram,hashtag,#vendasonline,Curso completo de #vendasonline disponível agora. Aprenda como montar seu negócio digital e ganhar em dólar! #cursoonline,137,https://www.instagram.com/p/Simulated_vendasonline_0/,2025-04-16 17:58:15,,,2025-04-30 17:58:21
