title,platform,seller,category,price,commission_rate,estimated_commission,url,relevance,search_term,is_real_data,score,collected_at
Curso de Vendas Online VIP,ClickBank,Pro Pro,Business,97,59,57.23,https://vendor.clickbank.net/curso-de-vendas-online-vip,0.8473812331947123,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online Avançado,ClickBank,Pro Institute,Business,597,57,340.28999999999996,https://vendor.clickbank.net/curso-de-vendas-online-avan-ado,0.8692560146768727,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Design Gráfico,Braip,Grupo University,Educação,97,30,29.099999999999998,https://www.braip.com/produto/curso-de-design-gr-fico,1.0,Curso de Design Gráfico,False,100.0,2025-04-30 18:05:40
Curso de Design Gráfico VIP,Braip,Grupo Education,Marketing Digital,497,41,203.76999999999998,https://www.braip.com/produto/curso-de-design-gr-fico-vip,0.7118711426297154,Curso de Design Gráfico,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo,Braip,Grupo Institute,Empreendedorismo,1397,31,433.07,https://www.braip.com/produto/ebook-empreendedorismo,1.0,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo Premium,Braip,Grupo Academy,Marketing Digital,397,52,206.44,https://www.braip.com/produto/ebook-empreendedorismo-premium,0.7718476785496723,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Ebook Empreendedorismo VIP,Braip,Grupo Pro,Empreendedorismo,197,55,108.35000000000001,https://www.braip.com/produto/ebook-empreendedorismo-vip,0.7301528979911901,Ebook Empreendedorismo,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online,Braip,Grupo University,Educação,397,35,138.95,https://www.braip.com/produto/curso-de-vendas-online,1.0,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online VIP,Braip,Grupo Pro,Educação,397,43,170.71,https://www.braip.com/produto/curso-de-vendas-online-vip,0.7523061331724401,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
Curso de Vendas Online Avançado,Braip,Grupo Pro,Empreendedorismo,1097,48,526.56,https://www.braip.com/produto/curso-de-vendas-online-avan-ado,0.8577747139967721,Curso de Vendas Online,False,100.0,2025-04-30 18:05:40
