date,product,category,marketplace,price,sales_count,revenue,commission_rate,commission_amount,has_stock_requirement,product_type,source,affiliate_network,platform,cost,profit,profit_margin,collected_at
2025-04-06,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,262.06,19,4979.06,8.22,409.18,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-05,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,270.84,31,8396.16,8.22,690.0,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-04,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,263.4,7,1843.77,8.22,151.52,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-03,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,259.59,24,6230.25,8.22,512.01,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-02,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,274.79,7,1923.52,8.22,158.08,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-01,Fone de Ouvido Bluetooth,Eletrônicos,Amazon,267.43,10,2674.3,8.22,219.78,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-30,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,95.54,12,1146.52,7.38,84.59,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-29,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,99.32,16,1589.18,7.38,117.25,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-28,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,94.68,13,1230.9,7.38,90.82,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-27,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,102.99,11,1132.94,7.38,83.59,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-26,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,99.47,28,2785.07,7.38,205.48,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-25,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,93.9,1,93.9,7.38,6.93,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-24,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,97.37,12,1168.47,7.38,86.21,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-23,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,99.72,16,1595.44,7.38,117.71,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-22,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,98.37,19,1869.07,7.38,137.9,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-21,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,103.35,13,1343.53,7.38,99.13,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-20,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,101.9,5,509.5,7.38,37.59,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-19,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,94.88,39,3700.4,7.38,273.02,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-18,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,94.93,22,2088.41,7.38,154.08,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-17,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,103.01,18,1854.11,7.38,136.8,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-16,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,95.88,25,2396.99,7.38,176.85,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-15,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,100.42,21,2108.74,7.38,155.58,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-14,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,100.89,7,706.24,7.38,52.11,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-13,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,101.03,13,1313.45,7.38,96.91,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-12,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,96.05,7,672.34,7.38,49.61,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-11,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,103.03,4,412.13,7.38,30.41,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-10,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,97.29,30,2918.6,7.38,215.33,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-09,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,98.84,15,1482.61,7.38,109.39,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-08,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,97.31,27,2627.37,7.38,193.85,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-07,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,98.5,12,1181.96,7.38,87.21,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-06,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,98.06,31,3039.99,7.38,224.29,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-05,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,102.14,15,1532.04,7.38,113.03,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-04,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,101.99,1,101.99,7.38,7.52,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-03,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,98.36,16,1573.76,7.38,116.11,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-02,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,98.86,6,593.14,7.38,43.76,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-01,Fone de Ouvido Bluetooth,Eletrônicos,Mercado Livre,97.14,6,582.84,7.38,43.0,False,physical,Mercado Livre API (simulado),,,,,,2025-04-30 17:58:28
2025-04-30,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,102.42,4,409.68,7.18,29.43,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-29,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,102.89,13,1337.54,7.18,96.1,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-28,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,102.85,7,719.95,7.18,51.72,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-27,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,105.7,11,1162.71,7.18,83.54,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-26,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,110.46,2,220.93,7.18,15.87,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-25,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,109.51,17,1861.71,7.18,133.75,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-24,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,107.06,18,1927.03,7.18,138.45,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-23,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,105.24,4,420.94,7.18,30.24,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-22,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,102.72,14,1438.02,7.18,103.31,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-21,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,100.66,2,201.33,7.18,14.46,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-20,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,108.87,26,2830.63,7.18,203.37,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-19,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,110.25,26,2866.42,7.18,205.94,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-18,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,100.76,15,1511.35,7.18,108.58,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-17,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,103.73,8,829.82,7.18,59.62,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-16,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,104.91,19,1993.36,7.18,143.21,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-15,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,104.92,18,1888.47,7.18,135.68,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-14,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,102.58,5,512.89,7.18,36.85,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-13,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,102.25,1,102.25,7.18,7.35,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-12,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,103.65,22,2280.2,7.18,163.82,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-11,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,104.68,6,628.08,7.18,45.12,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-10,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,101.27,4,405.08,7.18,29.1,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-09,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,103.06,9,927.55,7.18,66.64,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-08,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,106.55,6,639.3,7.18,45.93,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-07,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,105.24,8,841.9,7.18,60.49,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-06,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,104.33,13,1356.33,7.18,97.45,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-05,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,103.96,9,935.64,7.18,67.22,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-04,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,105.33,8,842.61,7.18,60.54,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-03,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,109.83,6,658.97,7.18,47.34,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-02,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,103.05,2,206.1,7.18,14.81,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-01,Fone de Ouvido Bluetooth,Eletrônicos,Shopee,101.78,14,1424.96,7.18,102.38,False,physical,Shopee API (simulado),,,,,,2025-04-30 17:58:28
2025-04-30,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,141.91,12,1702.88,10.13,172.44,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-29,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,149.25,13,1940.3,10.13,196.48,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-28,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,148.54,18,2673.63,10.13,270.74,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-27,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,149.65,5,748.25,10.13,75.77,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-26,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,143.23,7,1002.63,10.13,101.53,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-25,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,148.54,18,2673.72,10.13,270.75,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-24,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,143.06,8,1144.45,10.13,115.89,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-23,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,144.15,7,1009.08,10.13,102.18,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-22,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,149.7,6,898.2,10.13,90.96,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-21,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,143.95,12,1727.41,10.13,174.93,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-20,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,150.84,11,1659.24,10.13,168.02,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-19,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,146.81,5,734.07,10.13,74.34,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-18,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,144.27,13,1875.48,10.13,189.92,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-17,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,138.74,5,693.69,10.13,70.25,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-16,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,145.52,4,582.08,10.13,58.94,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-15,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,146.44,18,2635.85,10.13,266.92,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-14,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,149.0,9,1340.97,10.13,135.79,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-13,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,142.46,23,3276.69,10.13,331.81,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-12,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,149.5,15,2242.47,10.13,227.08,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-11,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,140.94,17,2395.91,10.13,242.62,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-10,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,140.86,18,2535.5,10.13,256.76,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-09,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,141.12,16,2257.94,10.13,228.65,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-08,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,137.19,15,2057.85,10.13,208.39,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-07,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,146.2,7,1023.38,10.13,103.63,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-06,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,146.84,18,2643.13,10.13,267.66,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-05,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,149.7,22,3293.36,10.13,333.5,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-04,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,143.08,12,1716.95,10.13,173.87,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-03,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,150.7,6,904.21,10.13,91.56,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-02,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,143.4,15,2150.98,10.13,217.82,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-01,Fone de Ouvido Bluetooth,Eletrônicos,AliExpress,146.47,19,2783.01,10.13,281.82,False,physical,AliExpress API (simulado),,,,,,2025-04-30 17:58:28
2025-04-30,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,153.48,1,153.48,5.2,7.98,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-29,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,152.68,4,610.72,5.2,31.75,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-28,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,157.99,11,1737.86,5.2,90.34,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-27,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,160.04,9,1440.32,5.2,74.87,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-26,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,161.28,18,2903.0,5.2,150.9,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-25,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,148.93,14,2085.09,5.2,108.39,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-24,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,154.51,1,154.51,5.2,8.03,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-23,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,148.57,10,1485.67,5.2,77.23,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-22,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,160.66,7,1124.59,5.2,58.46,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-21,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,159.48,15,2392.24,5.2,124.35,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-20,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,148.51,6,891.04,5.2,46.32,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-19,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,147.01,22,3234.27,5.2,168.12,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-18,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,151.77,2,303.53,5.2,15.78,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-17,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,154.92,19,2943.49,5.2,153.01,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-16,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,147.74,20,2954.85,5.2,153.6,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-15,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,159.94,12,1919.34,5.2,99.77,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-14,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,162.23,19,3082.34,5.2,160.23,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-13,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,159.45,9,1435.07,5.2,74.6,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-12,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,147.5,13,1917.53,5.2,99.68,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-11,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,161.9,5,809.5,5.2,42.08,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-10,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,150.12,12,1801.46,5.2,93.64,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-09,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,147.88,2,295.75,5.2,15.37,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-08,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,160.85,18,2895.32,5.2,150.51,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-07,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,156.19,9,1405.69,5.2,73.07,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-06,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,161.04,18,2898.77,5.2,150.68,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-05,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,154.5,19,2935.44,5.2,152.59,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-04,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,153.92,18,2770.53,5.2,144.02,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-03,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,147.2,10,1471.99,5.2,76.52,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-02,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,150.38,5,751.9,5.2,39.09,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-01,Fone de Ouvido Bluetooth,Eletrônicos,Magazine Luiza,161.99,8,1295.94,5.2,67.37,False,physical,Magazine Luiza API (simulado),,,,,,2025-04-30 17:58:28
2025-04-30,Smartwatch,Eletrônicos,Amazon,154.57,6,927.41,11.84,109.82,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
2025-04-29,Smartwatch,Eletrônicos,Amazon,157.45,27,4251.16,11.84,503.41,False,physical,Amazon API (simulado),,,,,,2025-04-30 17:58:28
